	neuroNER_ID	neuroNER_Name
178	ABA_REGION:11	posterolateral fissure
179	ABA_REGION:110	Paraventricular hypothalamic nucleus, parvicellular division, periventricular part
180	ABA_REGION:1100	Pretectal region
181	ABA_REGION:1101	Agranular insular area, dorsal part, layer 5
182	ABA_REGION:1102	Primary somatosensory area, mouth, layer 6a
183	ABA_REGION:1103	primary fissure
184	ABA_REGION:1104	Anteromedial nucleus, ventral part
185	ABA_REGION:1105	Intercalated amygdalar nucleus
186	ABA_REGION:1106	Visceral area, layer 2/3
187	ABA_REGION:1107	Medullary reticular nucleus, ventral part
188	ABA_REGION:1108	genu of corpus callosum
189	ABA_REGION:1109	Parastrial nucleus
190	ABA_REGION:111	Agranular insular area, posterior part
191	ABA_REGION:1110	Supramammillary nucleus, lateral part
192	ABA_REGION:1111	Primary somatosensory area, trunk, layer 5
193	ABA_REGION:1112	posterior superior fissure
194	ABA_REGION:1113	Interanterodorsal nucleus of the thalamus
195	ABA_REGION:1114	Anterolateral visual area, layer 4
196	ABA_REGION:1116	genu of the facial nerve
197	ABA_REGION:1117	Pons, behavioral state related
198	ABA_REGION:1118	Supramammillary nucleus, medial part
199	ABA_REGION:1119	prepyramidal fissure
200	ABA_REGION:112	Granular lamina of the cochlear nuclei
201	ABA_REGION:1120	Interanteromedial nucleus of the thalamus
202	ABA_REGION:1121	Entorhinal area, lateral part, layer 1
203	ABA_REGION:1123	inferior cerebellar peduncle
204	ABA_REGION:1124	Suprachiasmatic preoptic nucleus
205	ABA_REGION:1125	Orbital area, ventrolateral part, layer 5
206	ABA_REGION:1126	Tuberomammillary nucleus, dorsal part
207	ABA_REGION:1127	Temporal association areas, layer 2/3
208	ABA_REGION:1128	Primary somatosensory area, lower limb, layer 5
209	ABA_REGION:1129	Interbrain
210	ABA_REGION:113	Primary somatosensory area, lower limb, layer 2/3
211	ABA_REGION:1131	intermediate nerve
212	ABA_REGION:1132	Pons, sensory related
213	ABA_REGION:1133	Entorhinal area, medial part, ventral zone, layer 5/6
214	ABA_REGION:1139	Nucleus of the lateral olfactory tract, layer 3
215	ABA_REGION:114	Superior olivary complex, lateral part
216	ABA_REGION:1140	Postpiriform transition area, layers 1
217	ABA_REGION:1141	Postpiriform transition area, layers 2
218	ABA_REGION:1142	Postpiriform transition area, layers 3
219	ABA_REGION:1143	Cerebellar cortex, granular layer
220	ABA_REGION:1144	Cerebellar cortex, molecular layer
221	ABA_REGION:1145	Cerebellar cortex, Purkinje layer
222	ABA_REGION:115	Trochlear nucleus
223	ABA_REGION:116	choroid fissure
224	ABA_REGION:117	optic chiasm
225	ABA_REGION:118	Periventricular hypothalamic nucleus, intermediate part
226	ABA_REGION:119	Agranular insular area, ventral part
227	ABA_REGION:12	Interfascicular nucleus raphe
228	ABA_REGION:120	Agranular insular area, posterior part, layer 1
229	ABA_REGION:121	Lateral visual area, layer 6b
230	ABA_REGION:122	Superior olivary complex, periolivary region
231	ABA_REGION:123	Koelliker-Fuse subnucleus
232	ABA_REGION:124	interventricular foramen
233	ABA_REGION:125	optic tract
234	ABA_REGION:126	Periventricular hypothalamic nucleus, posterior part
235	ABA_REGION:127	Anteromedial nucleus
236	ABA_REGION:128	Midbrain reticular nucleus
237	ABA_REGION:129	third ventricle
238	ABA_REGION:12993	Somatosensory areas, layer 1
239	ABA_REGION:12994	Somatosensory areas, layer 2/3
240	ABA_REGION:12995	Somatosensory areas, layer 4
241	ABA_REGION:12996	Somatosensory areas, layer 5
242	ABA_REGION:12997	Somatosensory areas, layer 6a
243	ABA_REGION:12998	Somatosensory areas, layer 6b
244	ABA_REGION:130	Superior central nucleus raphe, medial part
245	ABA_REGION:131	Lateral amygdalar nucleus
246	ABA_REGION:132	Prelimbic area, layer 6b
247	ABA_REGION:133	Periventricular hypothalamic nucleus, preoptic part
248	ABA_REGION:134	pallidotegmental fascicle
249	ABA_REGION:135	Nucleus ambiguus
250	ABA_REGION:136	Intermediate reticular nucleus
251	ABA_REGION:137	Superior central nucleus raphe, lateral part
252	ABA_REGION:138	Lateral group of the dorsal thalamus
253	ABA_REGION:139	Entorhinal area, lateral part, layer 5
254	ABA_REGION:14	internal medullary lamina of the thalamus
255	ABA_REGION:140	cerebral aqueduct
256	ABA_REGION:141	Periventricular region
257	ABA_REGION:142	pallidothalmic pathway
258	ABA_REGION:143	Nucleus ambiguus, ventral division
259	ABA_REGION:144	Olfactory tubercle, layers 1-3
260	ABA_REGION:145	fourth ventricle
261	ABA_REGION:146	Pontine reticular nucleus
262	ABA_REGION:147	Locus ceruleus
263	ABA_REGION:148	Gustatory areas, layer 4
264	ABA_REGION:149	Paraventricular nucleus of the thalamus
265	ABA_REGION:15	Parataenial nucleus
266	ABA_REGION:150	periventricular bundle of the hypothalamus
267	ABA_REGION:151	Accessory olfactory bulb
268	ABA_REGION:152	Piriform area, layers 1-3
269	ABA_REGION:153	lateral recess
270	ABA_REGION:154	Perihypoglossal nuclei
271	ABA_REGION:155	Lateral dorsal nucleus of thalamus
272	ABA_REGION:156	Dorsal auditory area, layer 6a
273	ABA_REGION:157	Periventricular zone
274	ABA_REGION:158	posterior commissure
275	ABA_REGION:159	Anterior olfactory nucleus
276	ABA_REGION:16	Layer 6b, isocortex
277	ABA_REGION:160	Anterior olfactory nucleus, layer 1
278	ABA_REGION:161	Nucleus intercalatus
279	ABA_REGION:162	Laterodorsal tegmental nucleus
280	ABA_REGION:163	Agranular insular area, posterior part, layer 2/3
281	ABA_REGION:164	central canal, spinal cord/medulla
282	ABA_REGION:165	Midbrain raphe nuclei
283	ABA_REGION:166	premammillary commissure
284	ABA_REGION:167	Anterior olfactory nucleus, dorsal part
285	ABA_REGION:168	Anterior olfactory nucleus, layer 2
286	ABA_REGION:169	Nucleus prepositus
287	ABA_REGION:17	Superior colliculus, motor related, intermediate white layer
288	ABA_REGION:170	Dorsal part of the lateral geniculate complex
289	ABA_REGION:171	Prelimbic area, layer 1
290	ABA_REGION:173	Retrochiasmatic area
291	ABA_REGION:174	preoptic commissure
292	ABA_REGION:175	Anterior olfactory nucleus, external part
293	ABA_REGION:177	Nucleus of Roller
294	ABA_REGION:178	Ventral part of the lateral geniculate complex
295	ABA_REGION:179	Anterior cingulate area, layer 6a
